qoi,factor,S1,S1_conf,ST,ST_conf,S1_half,ST_half,n_blocks_used
log10_mass,front_speed_mm_per_day,0.2666738509963104,0.03480357521651338,0.34183811517860263,0.03294216790391376,0.2707024336527985,0.3472603128258109,2048
log10_mass,front_width_mm,-0.0007414276224463965,0.014471356967617416,0.05651530423310694,0.008036959283675657,0.006623257965998684,0.05484957584824481,2048
log10_mass,diffusivity_ratio,0.0032931238892809737,0.004198963604745902,0.005060099191096576,0.0008567101397319944,0.0005409497701103234,0.0056823704346115325,2048
log10_mass,resection_time,-0.0005830269108932281,0.010908358987015572,0.03250897299604447,0.0068458344683005575,-0.0033266780751837473,0.03166280476711641,2048
log10_mass,chemo_kill_rate,0.12371142596270186,0.02266068307709118,0.12400741808856958,0.009921639962081383,0.1260502149463108,0.12362494829252559,2048
log10_mass,rt_alpha,0.3995393814646383,0.04164956254899688,0.48903083293771005,0.037016966102492686,0.39219157985266023,0.487972954370045,2048
log10_mass,rt_alpha_beta_ratio,0.0014891133121986283,0.004433906441169164,0.004099701116609282,0.0005824065165491739,0.002486746642362233,0.004164217107339031,2048
log10_mass,seed_peak_density,0.0008399781522984548,0.0025783973202985694,0.002195417330691981,0.0008048164468348928,-4.2061009561259935e-05,0.001772335355217737,2048
log10_mass,seed_sigma_mm,0.057606468803820206,0.018449320967473357,0.10438877123104573,0.01571375310150663,0.05831076381419456,0.09868772452727216,2048
log10_mass,gaussian_seed_x_fraction,0.0019275651529963756,0.005244625930065436,0.007006594143958327,0.00095256377156884,-0.0007576743491577271,0.006764623400212588,2048
log10_mass,gaussian_seed_y_fraction,0.002444584472629874,0.005255126726566263,0.006573736292763087,0.0008417997076878032,-0.00018225519253260337,0.006189016546074951,2048
log10_mass,gaussian_seed_z_fraction,0.00211401665062224,0.005981199717377867,0.008023552569627515,0.0014094884644639941,0.00036837526261364664,0.008797849987605175,2048
V_core,front_speed_mm_per_day,0.11915302954395397,0.07176752572199019,0.6013673092911921,0.18144509639857023,0.11756066685317029,0.5873746038536766,2048
V_core,front_width_mm,0.01008838710574013,0.021217315543428098,0.27302303641819664,0.0961445249430083,0.008789583549450421,0.2893584536208229,2048
V_core,diffusivity_ratio,0.008445630458660995,0.01247028877753546,0.03844959907696526,0.02052302002624144,0.0020592866966607786,0.03230677974410313,2048
V_core,resection_time,0.014550849814598086,0.02472269729981119,0.08675289585768985,0.03149116770737848,-0.001145985420722312,0.07861728219057956,2048
V_core,chemo_kill_rate,0.02636739786424079,0.023487684755974656,0.23158195023990158,0.08202593204991142,0.04201620229554634,0.20551693705095156,2048
V_core,rt_alpha,0.0410352105834252,0.02677799660234987,0.3726216089952019,0.13007729753935196,0.04220192004130153,0.38758953913659244,2048
V_core,rt_alpha_beta_ratio,-0.001587040967791901,0.002510573767178213,0.003963164074726885,0.002107950095635965,-0.0012113434502132076,0.003204875633497041,2048
V_core,seed_peak_density,0.0002593644532900925,0.0008193340317072264,0.0009036319816980771,0.00038544178805367953,-8.045202901162896e-05,0.0006622404275041083,2048
V_core,seed_sigma_mm,0.0029345013308797407,0.014993798301957628,0.0889447871270832,0.03836004645048151,0.01172822616457223,0.07408448037672047,2048
V_core,gaussian_seed_x_fraction,-0.005127339094915511,0.007925210001528555,0.03844446189038251,0.014228620279594867,0.002142457383418691,0.037239108138744016,2048
V_core,gaussian_seed_y_fraction,-0.00135904991300681,0.011917138321608749,0.09499172371983156,0.0554185467233534,-0.00610774363050917,0.0881694448860472,2048
V_core,gaussian_seed_z_fraction,-0.0040502751719793334,0.0081075366057905,0.057059327501315496,0.026230526842641183,-0.003373463932655132,0.07274667655256244,2048
V_edema,front_speed_mm_per_day,0.2220345395610815,0.0736172595394015,0.6235248669839739,0.1373126177917324,0.23900254415506714,0.6214927125555066,2048
V_edema,front_width_mm,-0.004699437755635744,0.02265288246007158,0.12389598913696163,0.03223629127008598,0.006249219252835559,0.12373325343293248,2048
V_edema,diffusivity_ratio,0.009322392923713018,0.01742466112540129,0.04958474203508609,0.022759907907154944,-0.002962704616919393,0.042329504324169515,2048
V_edema,resection_time,0.018834573231209382,0.021405931632196937,0.08945951211964587,0.02612376463712484,0.0033597356194437177,0.08878378608082017,2048
V_edema,chemo_kill_rate,0.033173719112595375,0.025131684457299405,0.17520175902954369,0.05470680186759996,0.038925996749169495,0.18888244139683616,2048
V_edema,rt_alpha,0.07178589316009107,0.03080524597160641,0.3365386990103215,0.0809638080867526,0.0745717665790865,0.34469858762423694,2048
