patient,cell,candidate,u_front_speed_mm_per_day,u_front_width_mm,u_growth_efolds,u_chemo_kill_rate,u_rt_alpha,u_seed_peak_density,u_seed_sigma_mm,front_speed_mm_per_day,front_width_mm,growth_efolds,chemo_kill_rate,rt_alpha,seed_peak_density,seed_sigma_mm,resection_time,white_matter_diffusivity,rho,gaussian_seed_mass,gaussian_seed_diffusion_time,seed_enhancing_radius_mm,s,rho_T_r,ell_mm,log_kill_rt,log_kill_ct,log_kill_total,visibility_margin,r_core_mm,r_whole_mm,whole_core_ratio,R_over_lambda,fd_check
p00,compact_visible,21,0.7660901639610529,0.012916220352053642,0.8233196465298533,0.9507262837141752,0.10797837283462286,0.17440580762922764,0.7777313143014908,0.15224794694700108,1.0272224663505307,7.735904897388934,0.007702287065742664,0.0008859954245469096,0.669762323051691,3.496317469150733,104.38886654957993,0.0781962557798516,0.07410660880884969,450.84067976149083,6.112117922544293,1.6398679581988533,3.403661410923274,7.735904897388934,15.892990616298022,0.06644965684101821,4.08454617122717,4.150995828068188,4.741797228993773,14.726544727453604,16.983593338730824,1.5338615637613993,16.533510407993084,True
p01,compact_visible,25,0.6312814578413963,0.13193435780704021,0.5712373070418835,0.3460978912189603,0.617857251316309,0.4528657766059041,0.872297789901495,0.11439763867758884,1.315674924324705,4.1349340654684905,0.0003128611472176727,0.013203165667527977,0.7811463106423616,4.071083311746878,95.11086289124032,0.07525505230503082,0.04347488751307835,830.1033345475803,8.286859665591964,2.9572592109374147,3.0942926983551335,4.1349340654684905,10.880458127345802,0.9902374250645983,0.16591121443361428,1.1561486394982126,4.060837862071189,10.806362117279223,13.397488971543803,1.9055996973136586,10.182978123125906,False
p02,compact_visible,27,0.47093433141708374,0.28226777352392673,0.7789079304784536,0.13759628776460886,0.1834249785169959,0.8134646425023675,0.5596875669434667,0.08142662211194013,1.7985114204925328,6.927600437448635,0.0001036533134928492,0.0013214063268277454,0.925385857000947,2.4615282314517173,306.02690324626485,0.07322335490022706,0.022637226871109046,217.37376297982473,3.0295606171169096,2.2914200591646394,1.368647540073787,6.927600437448635,24.91873700672087,0.0991054745120809,0.05496766624620791,0.15407314075828882,2.5623940837747967,11.5880025546715,14.784657671931623,2.07686406873274,8.220496964029708,False
p03,compact_visible,35,0.34487374871969223,0.07122042961418629,0.9015109473839402,0.287095220759511,0.6370412018150091,0.6654911749064922,0.6264327606186271,0.062328614098158916,1.1596273690753895,9.394933438028747,0.00022886781262226627,0.014615743683610547,0.8661964699625968,2.7406760801131114,349.58652949421156,0.03613898339238163,0.02687441490271812,280.84024307602664,3.7556526880520846,2.3486237964098478,2.363411000120104,9.394933438028747,21.789243890759362,1.0961807762707911,0.12136929457241394,1.217550070843205,2.0073797174829693,15.279755176761139,17.642454115873793,1.5393160677240179,15.213899383851835,False
p04,compact_visible,49,0.6184406587854028,0.2339309537783265,0.7598850559443235,0.7327967258170247,0.28694878332316875,0.5185052156448364,0.47220050916075706,0.11132507888276783,1.626524846994418,6.607751493466411,0.002427488891320668,0.0022869030936079615,0.8074020862579345,2.138227899665244,193.08626761819866,0.09053650344821773,0.03422175784417939,124.31445936645802,2.286009275453421,1.647662804419229,1.3145989768409496,6.607751493466411,21.495343973775185,0.1715177320205971,1.2873047150942938,1.458822447114891,2.6477884941866363,9.170041568041672,11.939331255042351,2.207120743034056,7.340392787177216,False
p05,compact_visible,67,0.332232104614377,0.18577796313911676,0.5480072926729918,0.17966215405613184,0.27304761577397585,0.38442644104361534,0.7728493316099048,0.06068017258330997,1.471547273268884,3.9030057666748887,0.0001295322799854962,0.0021245196802208185,0.7537705764174462,3.468953678421751,189.3026090398067,0.044646871253227534,0.02061781285779406,495.56940356805376,6.016819811517899,2.3433206594313685,2.3573511646118197,3.9030057666748887,11.486914987006324,0.1593389760165614,0.0686913605983692,0.2280303366149306,2.2461072063203567,8.73108172572413,11.236706576875138,2.131635581061693,7.635980699358712,False
p06,compact_visible,73,0.7221659980714321,0.19667448848485947,0.3522448781877756,0.017390151508152485,0.04830903373658657,0.6402264321222901,0.9221320487558842,0.13870919433046114,1.505271230469116,2.399584602693894,5.482583624479657e-05,0.0006458483286404533,0.8560905728489161,4.411056718835196,52.08055147240612,0.10439747981359648,0.04607448528968184,1157.2240307710742,9.728710688390564,3.7191592621466913,2.930406580254972,2.399584602693894,7.224051335023565,0.048438624648034,0.029074307099513332,0.07751293174754734,5.451425303014274,8.333254945612431,11.201301201322764,2.4286303630363038,7.441383967613525,False
p07,compact_visible,93,0.9631877774372697,0.1440169010311365,0.9101107623428106,0.45658538211137056,0.16421069763600826,0.07718654628843069,0.020282644778490067,0.23122917185358055,1.3491499489851413,9.597861232670189,0.0005618063765283495,0.001193503632662836,0.6308746185153723,1.0331823068405652,112.00104111969934,0.15598141270506732,0.08569439298704935,10.958313950073018,0.5337328395841959,0.32730029893234097,0.7658024281272415,9.597861232670189,25.8979079848469,0.0895127724497127,0.297927623916549,0.3874403963662617,9.89588676207966,8.277882845611002,10.70038357701819,2.15993265993266,7.931204077847123,False
p08,compact_invisible,19,0.29799451492726803,0.23462035413831472,0.2669996842741966,0.4417137810960412,0.8420475339516997,0.696825422346592,0.9630015371367335,0.05643131786293158,1.6288582527033924,1.9415163489640133,0.0005192382339785088,0.04330585702535554,0.8787301689386368,4.710957525260854,112.08155497803588,0.04595930890598224,0.017322353792686793,1446.947938337088,11.096560402405935,4.11527538471122,2.8921838456121924,1.9415163489640133,6.324909855537184,3.2479392769016657,0.2753536089279971,3.5232928858296626,-1.4446104307072476,7.982978264466555,11.028024150899283,2.636320976067574,6.770401373229519,True
p09,compact_invisible,47,0.2414007280021906,0.19023952074348927,0.649183502420783,0.8848267579451203,0.15079863090068102,0.9573893649503589,0.7189089981839061,0.050050402258277636,1.4852631505353275,5.018647133668348,0.0054322896104362604,0.0011116349109093187,0.9829557459801436,3.1805031173065017,297.86020958281324,0.037169009071844956,0.016849001552431353,498.0709875855052,5.057800039598187,3.160192597477105,2.1413734772590067,5.018647133668348,14.908023306354686,0.0833726183181989,2.880759641898017,2.964132260216216,-0.9422520739244535,10.244036390128217,12.762720850936287,1.9338218965134355,8.592902103803134,False
