qoi,factor,S1,S1_conf,ST,ST_conf,S1_half,ST_half,n_blocks_used
log10_mass,front_speed_mm_per_day,0.11148351284202282,0.022138517348689372,0.14088073240255458,0.013945009111702385,0.10920238631447943,0.14703354454570655,2048
log10_mass,front_width_mm,0.007902209553798238,0.009686248505733703,0.028780763693073603,0.0037983690087619107,0.009133678599126402,0.028302142940819185,2048
log10_mass,diffusivity_ratio,0.0019338108794928815,0.0030670503306267486,0.0024196166147070902,0.000738242318720789,0.0025219607617102927,0.0030305966675724565,2048
log10_mass,resection_time,0.00022811792305083998,0.0048733191063916395,0.006397531328549631,0.001231859134674041,-0.001615426029105333,0.005925719608924968,2048
log10_mass,chemo_kill_rate,0.6705637441188714,0.05203968819952804,0.6857141894328732,0.040075467836221935,0.6729614284785347,0.6832264824051651,2048
log10_mass,rt_alpha,0.15654803773720838,0.02742580866143994,0.19169282357059758,0.017917818543753256,0.15561384657086014,0.1961933640217734,2048
log10_mass,rt_alpha_beta_ratio,0.0005256975691811218,0.0018729659578883265,0.0008460107718758146,0.0001601627209955343,0.0011987108210025957,0.0008166224868664786,2048
log10_mass,seed_peak_density,2.2690694130491405e-05,0.0013186084883427477,0.0004459206130880315,0.00015672416311614392,-6.957542904250427e-06,0.00035199528769079666,2048
log10_mass,seed_sigma_mm,0.017838810807587053,0.009461865425446813,0.023803888536306682,0.0025991263046659255,0.017245727889361635,0.023387419332057447,2048
log10_mass,gaussian_seed_x_fraction,0.0022912793981213196,0.0032309581602117574,0.0029873589902510156,0.0004325247305624095,-0.0008504545260141916,0.0028389170630524338,2048
log10_mass,gaussian_seed_y_fraction,0.0020427942963243627,0.003325279937935012,0.002927270778865134,0.0006255167648423325,-0.0011390421014804309,0.0030540719854102805,2048
log10_mass,gaussian_seed_z_fraction,0.00046251101581200175,0.003471349835761769,0.0034111796205248796,0.0006817786288207358,-0.0009752480976380839,0.003784683738278715,2048
V_core,front_speed_mm_per_day,0.04757216290773062,0.06154564858927231,0.4865864700328137,0.2187067752483843,0.07622461864421498,0.44986779237925734,2048
V_core,front_width_mm,-0.01658330790086737,0.04552204638791946,0.28285978984886556,0.13043649126151075,-0.018196587077995614,0.29797101529866993,2048
V_core,diffusivity_ratio,0.00952925068775407,0.01787957959802015,0.03727090826345279,0.02754443085562765,0.0018183522718620948,0.029968193350909403,2048
V_core,resection_time,0.013994792053278547,0.02697605290676061,0.09085097261047889,0.0436587448338909,-0.005856868935916528,0.07951743116209631,2048
V_core,chemo_kill_rate,0.0391290760840435,0.029354154527927195,0.500496400957518,0.24156419160637063,0.045800186104041705,0.5090295225866973,2048
V_core,rt_alpha,0.012573943576221642,0.014999014651282214,0.2598783507891349,0.16728398625746366,-0.000848195804764103,0.3206984544565307,2048
V_core,rt_alpha_beta_ratio,-0.000968528328224657,0.0010656438732353406,0.00046901994306906017,0.0003845816923260497,-0.0006550556708694508,0.0007755076424424672,2048
V_core,seed_peak_density,-2.344842186547636e-05,0.0005451559035658187,0.0007563915131569177,0.00043991403808632887,0.00010412080751307128,0.0005818053951996983,2048
V_core,seed_sigma_mm,0.002697431409641894,0.021623621708199314,0.07280388524873752,0.0452734739798035,0.014796052077213217,0.05599448390768126,2048
V_core,gaussian_seed_x_fraction,-0.0063269293920131305,0.009190029689390682,0.023982912577256724,0.012476780709148311,0.0007438076563520176,0.026600579278908756,2048
V_core,gaussian_seed_y_fraction,0.0004055360780997512,0.01865324406741952,0.09511924560590075,0.0737682361861108,-0.009712471573045589,0.08501727659574072,2048
V_core,gaussian_seed_z_fraction,-0.0008688583512484014,0.008816419259053139,0.061840212234017346,0.035231417416924794,0.0013378856088346219,0.08231925955370828,2048
V_edema,front_speed_mm_per_day,0.11598206547060692,0.060311266872471334,0.5109959115918282,0.15940445719287366,0.12182507771373981,0.46843273210997316,2048
V_edema,front_width_mm,0.0008966318317031015,0.021511245716944946,0.1502832628575185,0.04940699223697617,0.0029251153637363273,0.15087687642021397,2048
V_edema,diffusivity_ratio,0.005388242107952088,0.017049408516449153,0.04812209995470321,0.025237420465520802,-0.0022790924130024143,0.03806808597068506,2048
V_edema,resection_time,0.016032122261443477,0.02318819047851948,0.09469367587524725,0.033708035414343196,-0.004112487777254263,0.08209034144541821,2048
V_edema,chemo_kill_rate,0.08734687821477538,0.031270817313251445,0.4612305316703301,0.15858361021241174,0.09499874567833666,0.5089875121898116,2048
V_edema,rt_alpha,0.04136133907351992,0.02209334648584905,0.2468952828650828,0.09063314897845454,0.03997851381715353,0.2520500904983953,2048
V_edema,rt_alpha_beta_ratio,0.00014220367501521756,0.0019807984332409893,0.0006175858144469029,0.0005276705078093724,0.0016203280668351141,0.000897290528140353,2048
V_edema,seed_peak_density,0.00022295275847345844,0.000753054084569346,0.0011071820498173921,0.00047467633743257845,2.709493051278403e-05,0.0010709834003715946,2048
