run_name,success,exit_code,wall_time_s,error,final_time,n_steps,growth_dt,growth_n_steps,treated_dt
r0000_AB-chemo_kill_rate,True,0,16.406,,191.22054263313262,2296,0.08328420846390794,855,0.08328420846390794
r0000_AB-front_width_mm,True,0,16.779,,191.22054263313262,2296,0.08328420846390794,855,0.08328420846390794
r0000_AB-diffusivity_ratio,True,0,20.145,,191.22054263313262,2296,0.08328420846390794,855,0.08328420846390794
r0000_AB-seed_sigma_mm,True,0,20.176,,191.22054263313262,2296,0.08328420846390794,855,0.08328420846390794
r0000_AB-rt_alpha_beta_ratio,True,0,20.316,,191.22054263313262,2296,0.08328420846390794,855,0.08328420846390794
r0000_AB-gaussian_seed_x_fraction,True,0,20.725,,191.22054263313262,2296,0.08328420846390794,855,0.08328420846390794
r0000_AB-gaussian_seed_y_fraction,True,0,20.799,,191.22054263313262,2296,0.08328420846390794,855,0.08328420846390794
r0000_A,True,0,21.05,,191.22054263313262,2296,0.08328420846390794,855,0.08328420846390794
r0000_AB-seed_peak_density,True,0,21.03,,191.22054263313262,2296,0.08328420846390794,855,0.08328420846390794
r0000_AB-rt_alpha,True,0,21.159,,191.22054263313262,2296,0.08328420846390794,855,0.08328420846390794
r0000_AB-front_speed_mm_per_day,True,0,21.279,,191.22054263313262,2296,0.08328420846390794,855,0.08328420846390794
r0000_AB-resection_time,True,0,21.291,,223.57285779681143,2683,0.08332942892165912,1242,0.08332942892165912
r0000_B,True,0,15.666,,223.57285779681143,2683,0.08332942892165912,1242,0.08332942892165912
r0000_AB-gaussian_seed_z_fraction,True,0,17.486,,191.22054263313262,2296,0.08328420846390794,855,0.08328420846390794
r0001_AB-front_width_mm,True,0,17.189,,264.30816382516207,3172,0.08332539843164001,1731,0.08332539843164
r0001_A,True,0,18.095,,264.30816382516207,3172,0.08332539843164001,1731,0.08332539843164
r0001_AB-chemo_kill_rate,True,0,18.759,,264.30816382516207,3172,0.08332539843164001,1731,0.08332539843164
r0001_AB-rt_alpha_beta_ratio,True,0,18.77,,264.30816382516207,3172,0.08332539843164001,1731,0.08332539843164
r0001_AB-seed_peak_density,True,0,18.993,,264.30816382516207,3172,0.08332539843164001,1731,0.08332539843164
r0001_AB-seed_sigma_mm,True,0,19.534,,264.30816382516207,3172,0.08332539843164001,1731,0.08332539843164
r0001_AB-front_speed_mm_per_day,True,0,21.219,,264.30816382516207,3172,0.08332539843164001,1731,0.08332539843164
