qoi,factor,S1,S1_conf,ST,ST_conf,S1_half,ST_half,n_blocks_used
log10_mass,front_speed_mm_per_day,0.317733274927666,0.034601646083120996,0.39988590035913435,0.039149335968801546,0.3184192489394622,0.4089604475034144,2048
log10_mass,front_width_mm,0.06780271626325693,0.02472996472193664,0.1758954376292125,0.02314447732850774,0.07324975342856296,0.17123261983370275,2048
log10_mass,diffusivity_ratio,0.0042292076196969106,0.005040683763921854,0.0079007450209777,0.0011088556243807799,0.0036479081102671774,0.008280916078963465,2048
log10_mass,resection_time,0.010956515285101002,0.009314172639582041,0.023789503097697763,0.0030804996660090058,0.012475512730467278,0.0228822758722219,2048
log10_mass,chemo_kill_rate,0.12312086182708361,0.02202127362324207,0.12121791201947758,0.009785807897963635,0.12471454862613418,0.12059703433126047,2048
log10_mass,rt_alpha,0.311700636415047,0.039009143046026894,0.40623599397964505,0.033046853193179605,0.29252089986224905,0.40579105106949087,2048
log10_mass,rt_alpha_beta_ratio,0.0013366353511221156,0.004068625402083422,0.003566358604635638,0.0005565357864881968,0.0023141394599975823,0.003529543209133079,2048
log10_mass,seed_peak_density,0.000589233263282032,0.0026246217307565006,0.0015662571045974782,0.00037503004134769636,-0.0011669082087504804,0.0015548717316189774,2048
log10_mass,seed_relative_width,0.015248545867533228,0.009245096766523006,0.023016252695321624,0.0027779502242861473,0.01648741988114877,0.02167412866682212,2048
log10_mass,gaussian_seed_x_fraction,0.0041109066870836375,0.005920440176344887,0.011666690760010324,0.0017792652547571233,0.0016956567206243003,0.010945779875323657,2048
log10_mass,gaussian_seed_y_fraction,0.004172586534722025,0.006157930616390484,0.00939902570522852,0.0016844287078723516,-0.0019840001298359073,0.00950459965112169,2048
log10_mass,gaussian_seed_z_fraction,0.005482790918895652,0.0070495390385422714,0.011150240337714208,0.0015466155614324655,0.005045896530049651,0.011432916324009668,2048
V_core,front_speed_mm_per_day,0.040695517921287463,0.04512537310597474,0.5902059190108316,0.2830072222144837,0.06111628591410103,0.637284832443421,2048
V_core,front_width_mm,0.0016760948674879204,0.02803834959550894,0.3879035991776207,0.21292926441190865,-0.022510545790252353,0.44639900732691234,2048
V_core,diffusivity_ratio,0.0012668475617154768,0.003466899456562251,0.06257670655219016,0.04055867574345736,0.002437883711396665,0.0657650256650382,2048
V_core,resection_time,0.003720609947332809,0.01132561969685324,0.20199656515069792,0.12571759976918126,-0.007023384230991532,0.1968289259008886,2048
V_core,chemo_kill_rate,0.015817888036549037,0.020864999826054106,0.24224290305625273,0.13785004111491073,0.01347630184304644,0.24866325450575885,2048
V_core,rt_alpha,0.01356658135949669,0.01978973222376131,0.3820485279135575,0.238876887885582,0.015046914408975978,0.4975286274810397,2048
V_core,rt_alpha_beta_ratio,-0.0011803655764859114,0.0022422395048605354,0.007153188471838636,0.005841147657397946,-0.003224253713371447,0.0077899379265385866,2048
V_core,seed_peak_density,0.00016325262929024403,0.0003431390172027673,0.00040523732641060305,0.0002368959476186536,0.00024367994000320435,0.0003346087719175771,2048
V_core,seed_relative_width,0.002101749701027124,0.004300989905987818,0.011333629682201769,0.006285310952610546,0.005485978826590999,0.012230734952494627,2048
V_core,gaussian_seed_x_fraction,-0.0018384943250277052,0.003486661898190179,0.04758818821364018,0.02950570079103383,0.00043838893932228825,0.06552460512250875,2048
V_core,gaussian_seed_y_fraction,-0.009354090327971715,0.02041649661214629,0.06057584363995066,0.04017107221221261,-0.018699620865500904,0.0746309190815063,2048
V_core,gaussian_seed_z_fraction,0.00620373650719166,0.013974165227160978,0.09334814077803681,0.06517997698749335,0.018730711704872293,0.12059863581656442,2048
V_edema,front_speed_mm_per_day,0.12230040167319249,0.05442569834500166,0.5917757099471167,0.18581250075407102,0.1349866884302448,0.5583061966388913,2048
V_edema,front_width_mm,-0.008140921660075068,0.03168388750454809,0.16465101857866235,0.07261218282600997,0.0031384172303454685,0.16621691467230093,2048
V_edema,diffusivity_ratio,0.01090703922737482,0.019333643355670286,0.07643829287857996,0.04352209379996323,0.0032287472281011128,0.05587528486768003,2048
V_edema,resection_time,0.022554189370404296,0.029909965324815088,0.16949206166415182,0.06649381710548996,0.004041682534469625,0.14712034712757324,2048
V_edema,chemo_kill_rate,0.023441826216950987,0.01939365868295329,0.222856950305391,0.09339888500335358,0.02314443684074132,0.20280639969252243,2048
V_edema,rt_alpha,0.030267497333370023,0.022434100089996967,0.28447940996100113,0.10077015360116563,0.031542871614337366,0.2652350397979652,2048
V_edema,rt_alpha_beta_ratio,-0.0016256451571583421,0.0025692657654625903,0.0023539232699620297,0.0013011510341240531,-0.0005678194989038805,0.002502725406165819,2048
V_edema,seed_peak_density,0.0007890428762541389,0.001218738140489697,0.0008889197997015471,0.0005447641811491896,0.0014192057518659835,0.0009913549482271926,2048
V_edema,seed_relative_width,0.0013036392913111194,0.0055955712020977,0.01847578397609502,0.0080731752704525,0.002785752120008163,0.01641440192168963,2048
V_edema,gaussian_seed_x_fraction,-0.0021905339936476352,0.004432313074462985,0.05377512109623282,0.027416729331679896,0.0014010029487835692,0.055072254781784305,2048
V_edema,gaussian_seed_y_fraction,-0.002360313439674165,0.02027518426693876,0.06372797675302426,0.02898984359712164,-0.01317644219406046,0.06733243674466854,2048
V_edema,gaussian_seed_z_fraction,0.006927458060298043,0.010402033765781103,0.10957066761459833,0.08874705563845926,0.01604676933106183,0.1553913820648565,2048
log10_V_core,front_speed_mm_per_day,0.1516594034602766,0.061107314089300896,0.681902615430423,0.08482139842125273,0.16130439765622334,0.7279752529556814,2048
log10_V_core,front_width_mm,0.08114976168783217,0.03647789822171428,0.5106907300361377,0.07422983727325738,0.06785470881815606,0.5061614372685606,2048
log10_V_core,diffusivity_ratio,0.002383260256121711,0.0029407158021149114,0.0040972966334206,0.002344952404260157,0.004164763465519005,0.0028264253013101483,2048
log10_V_core,resection_time,0.009676122605039054,0.011115485555427415,0.0203992015765302,0.008402795591678544,0.011685739093313663,0.01829959005379184,2048
log10_V_core,chemo_kill_rate,0.05749460815126452,0.04031259471512168,0.3795435622347169,0.0666556096694898,0.0720739238081817,0.36885454096608167,2048
