lambda,run_type,snapshot,n_steps,dt,resection_time,wall_time_s,dice_core,dice_edema,assd_core_mm,assd_edema_mm,rel_l2_log,rel_l2,max_abs_diff,mass,mass_out_of_field,ref_mass,ref_mass_out_of_field,qoi_mass,qoi_log10_mass,qoi_V_core,qoi_V_edema,qoi_log10_V_core,qoi_log10_V_edema,qoi_r95_core,qoi_r95_edema,qoi_centroid_drift,qoi_centroid_x_mm,qoi_centroid_y_mm,qoi_centroid_z_mm,qoi_R_g,qoi_anisotropy,qoi_log10_anisotropy,qoi_wm_fraction,qoi_n_core,qoi_n_edema,qoi_voxel_volume
1.0,growth_fixed_dt,pre,1200,0.08333333333333333,100.0,5.7334761545062065,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11044.552133675556,175.45659981530858,11044.552133675556,175.45659981530858,11046.028498588787,4.04320615936239,4302.0,12505.0,3.6337713460825554,4.09711842434465,10.295630140987,14.352700094407323,0.4229602832109226,131.75884530957643,102.98070627133498,90.34694029528836,14.163499908432428,1.0682859098142288,0.028687500292928988,0.48736124102191,4302.0,12505.0,1.0
1.0,growth_fixed_n,pre,1200,0.08333333333333333,100.0,2.1908500641584396,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11044.552133675556,175.45659981530858,11044.552133675556,175.45659981530858,11046.028498588787,4.04320615936239,4302.0,12505.0,3.6337713460825554,4.09711842434465,10.295630140987,14.352700094407323,0.4229602832109226,131.75884530957643,102.98070627133498,90.34694029528836,14.163499908432428,1.0682859098142288,0.028687500292928988,0.48736124102191,4302.0,12505.0,1.0
1.0,treated,pre,2640,0.08333333333333333,100.0,11.42271213233471,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11034.174922307024,174.98775973202123,11034.174922307024,174.98775973202123,11035.648914261956,4.0427978754765865,4294.0,12487.0,3.632963168167261,4.096492890054361,10.295630140987,14.352700094407323,0.4224968122149323,131.75921135607484,102.98077173957536,90.34663332108946,14.160541325881995,1.0682496049370345,0.02867274087730091,0.4872731244450839,4294.0,12487.0,1.0
1.0,treated,d34,2640,0.08333333333333333,100.0,11.42271213233471,,,,,0.0,0.0,0.0,1955.120605627581,266.23698395675467,1955.120605627581,266.23698395675467,1956.313669069567,3.2914384894211905,0.0,0.0,0.0,0.0,0.0,0.0,1.728621932586716,130.7759806306989,103.05776768633554,91.2192511077752,18.267124609497117,1.129039101001238,0.052708982717723576,0.6139879211189639,0.0,0.0,1.0
1.0,treated,d55,2640,0.08333333333333333,100.0,11.42271213233471,,,,,0.0,0.0,0.0,579.644240073455,243.2076470252642,579.644240073455,243.2076470252642,580.7166116921777,2.7639642494241654,0.0,0.0,0.0,0.0,0.0,0.0,3.919825499125804,128.9684227882526,103.22060278518325,92.4750567597492,22.038128779980855,1.222676313491378,0.08731149884283496,0.6302901097372573,0.0,0.0,1.0
1.0,treated,d80,2640,0.08333333333333333,100.0,11.42271213233471,,,,,0.0,0.0,0.0,936.0785242488953,372.0192086581172,936.0785242488953,372.0192086581172,937.8168943134863,2.9721180520763593,0.0,0.0,0.0,0.0,0.0,0.0,3.9444485526857673,128.94859358445999,103.21480502314648,92.49027148600652,22.238690958632805,1.2222178309937008,0.087148615372748,0.628508888674971,0.0,0.0,1.0
1.0,treated,d120,2640,0.08333333333333333,100.0,11.42271213233471,,,,,0.0,0.0,0.0,1291.4189138158058,501.5364032944079,1291.4189138158058,501.5364032944079,1293.8360335511081,3.1118792421472516,0.0,0.0,0.0,0.0,0.0,0.0,3.9842138042133937,128.91476143969874,103.20625966717256,92.51251260960271,22.55717940295213,1.2225645060262975,0.08727178302853451,0.6253784192454964,0.0,0.0,1.0
0.25,growth_fixed_dt,pre,4800,0.08333333333333333,400.0,8.243488572537899,0.9997676039972112,0.999720190270616,0.001998001998001998,0.0031257513825438807,0.00011029718834122657,0.00032475908593829466,0.00017784390419439688,11049.809107008447,175.97633053135684,11044.552133675556,175.45659981530858,11051.287192934386,4.043412865191397,4304.0,12512.0,3.6339731557896737,4.097361444565494,10.295630140987,14.352700094407323,0.42343267018119907,131.7584327354606,102.98061998903268,90.34722456430188,14.166505922955519,1.0683191678177328,0.028701020589733776,0.48743117328555063,4304.0,12512.0,1.0
0.25,growth_fixed_n,pre,1200,0.3333333333333333,400.0,2.174862116575241,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11044.552133675556,175.45659981530858,11044.552133675556,175.45659981530858,11046.028498588787,4.04320615936239,4302.0,12505.0,3.6337713460825554,4.09711842434465,10.295630140987,14.352700094407323,0.4229602832109226,131.75884530957643,102.98070627133498,90.34694029528836,14.163499908432428,1.0682859098142288,0.028687500292928988,0.48736124102191,4302.0,12505.0,1.0
0.25,treated,pre,6240,0.08333333333333333,400.0,24.697157077491283,0.9990693345742205,0.999199807953909,0.0074962518740629685,0.008666345690900338,0.00016479722131952713,0.0008286278342645458,0.000459335120524651,11047.211811390125,175.85862316445719,11034.174922307024,174.98775973202123,11048.689302671484,4.0433107610637125,4302.0,12507.0,3.6337713460825554,4.0971878725708955,10.295630140987,14.352700094407323,0.42331666288346537,131.75852442020678,102.98063641722742,90.3471477971996,14.16576562920475,1.0683100972710964,0.02869733320379701,0.4874091412134734,4302.0,12507.0,1.0
0.25,treated,d34,6240,0.08333333333333333,400.0,24.697157077491283,,,,,0.02303767372959535,0.2979174436473126,0.026839493114579366,1271.2676980959657,142.0957270981115,1955.120605627581,266.23698395675467,1271.9879177948217,3.104482986108025,0.0,0.0,0.0,0.0,0.0,0.0,1.4996847831249998,130.99662391732048,103.0844442718536,91.11137754628861,17.492249256416084,1.119570901229223,0.04905160219158188,0.6090732682703832,0.0,0.0,1.0
0.25,treated,d55,6240,0.08333333333333333,400.0,24.697157077491283,,,,,0.03613440167111053,0.4986541059474818,0.010422279495631397,263.1515372974778,99.66604746793118,579.644240073455,243.2076470252642,263.6289778391807,2.420993145770104,0.0,0.0,0.0,0.0,0.0,0.0,3.387961065777834,129.43492334523222,103.24961928947445,92.19917078661801,20.899803634796825,1.202304344929526,0.0800144165793641,0.6304458619387,0.0,0.0,1.0
0.25,treated,d80,6240,0.08333333333333333,400.0,24.697157077491283,,,,,0.05310021990354064,0.6418877071123412,0.019216619371131716,296.8329660752764,106.86630650976898,936.0785242488953,372.0192086581172,297.3717863778647,2.473299761759399,0.0,0.0,0.0,0.0,0.0,0.0,3.395877644085156,129.42916338554787,103.24823304154243,92.20480485133633,20.954242634169116,1.2019646326420823,0.07989168890269424,0.6299530549651112,0.0,0.0,1.0
0.25,treated,d120,6240,0.08333333333333333,400.0,24.697157077491283,,,,,0.07762904882872758,0.7908197962821751,0.03260520125343397,234.5512107549643,81.15154871667583,1291.4189138158058,501.5364032944079,234.97727059700935,2.37102585490278,0.0,0.0,0.0,0.0,0.0,0.0,3.4082254040255537,129.42005991424128,103.24621038552571,92.2134339846943,21.038826809343877,1.2015543226007932,0.07974341015653026,0.629180312301435,0.0,0.0,1.0
