patient,cell,t_r_column,observation_set,split,name,resid7_frac,norm_T_r,n_rows
p07,young_weak,fixed_dt,f,region,core,0.004026295873812903,311.316326238995,13276
p07,young_weak,fixed_dt,f,region,rim,0.0019023726523128006,572.4750453502373,21744
p07,young_weak,fixed_dt,f,region,out_of_field,0.32093337108413084,0.03174005663934221,2641980
p07,young_weak,fixed_dt,f,day,pre,0.002687234510202186,799.4569727726763,684286
p07,young_weak,fixed_dt,f,day,d34,0.04861023487445468,70.73129038690361,684286
p07,young_weak,fixed_dt,f,day,d55,0.06683587417242712,0.20167588610960233,684286
p07,young_weak,fixed_dt,f,day,d80,0.8660959134831044,2.6841197420786704,684286
p07,young_weak,fixed_dt,f,day,d120,0.16940124705207876,51.32688438073815,684286
p08,young_strong,scaled_dt,a,region,core,2.972768284561513e-15,153.4426879350614,6420
p08,young_strong,scaled_dt,a,region,rim,2.233750979384461e-15,317.02508746183986,21474
p08,young_strong,scaled_dt,a,region,out_of_field,3.0936953468750977e-15,0.019843353464541393,523548
p08,young_strong,scaled_dt,a,day,pre,2.105009757400196e-15,449.19403115945414,639660
p08,young_strong,scaled_dt,b,region,core,7.466079593606266e-11,153.4426879350614,6420
p08,young_strong,scaled_dt,b,region,rim,5.677354554984929e-11,317.02508746183986,21474
p08,young_strong,scaled_dt,b,region,out_of_field,0.03540606914110276,0.021233940462407203,1047096
p08,young_strong,scaled_dt,b,day,pre,5.607950415358207e-11,449.19403115945414,639660
p08,young_strong,scaled_dt,b,day,d120,0.12051734331388606,0.0076518666345625095,639660
p08,young_strong,scaled_dt,c,region,core,7.858262955644825e-11,153.4426879350614,6420
p08,young_strong,scaled_dt,c,region,rim,7.180405770639738e-11,317.02508746183986,21474
p08,young_strong,scaled_dt,c,region,out_of_field,0.045068666460369285,0.022278089461685677,1570644
p08,young_strong,scaled_dt,c,day,pre,7.149518001532428e-11,449.19403115945414,639660
p08,young_strong,scaled_dt,c,day,d55,0.1136181208749763,0.006743181752283291,639660
p08,young_strong,scaled_dt,c,day,d120,0.12672500978461923,0.0076518666345625095,639660
p08,young_strong,scaled_dt,d,region,core,1.6915515578257763e-10,153.4426879350614,6420
p08,young_strong,scaled_dt,d,region,rim,1.4308586647649364e-10,317.02508746183986,21474
p08,young_strong,scaled_dt,d,region,out_of_field,0.07170631014775508,0.02454850150098324,2094192
p08,young_strong,scaled_dt,d,day,pre,1.3859078537267942e-10,449.19403115945414,639660
p08,young_strong,scaled_dt,d,day,d34,0.10350560545227021,0.010321367458672804,639660
p08,young_strong,scaled_dt,d,day,d55,0.15921697213233518,0.006743181752283291,639660
p08,young_strong,scaled_dt,d,day,d120,0.14983008752761254,0.0076518666345625095,639660
p08,young_strong,scaled_dt,e,region,core,1.3922418813337525e-10,153.4426879350614,6420
p08,young_strong,scaled_dt,e,region,rim,1.0575114581896855e-10,317.02508746183986,21474
p08,young_strong,scaled_dt,e,region,out_of_field,0.04488127936195774,0.022629192529625773,1570644
p08,young_strong,scaled_dt,e,day,pre,1.0508433416672523e-10,449.19403115945414,639660
p08,young_strong,scaled_dt,e,day,d80,0.10411198567913445,0.007858613588200721,639660
p08,young_strong,scaled_dt,e,day,d120,0.12066081538452042,0.0076518666345625095,639660
p08,young_strong,scaled_dt,f,region,core,2.4988121071504975e-10,153.4426879350614,6420
p08,young_strong,scaled_dt,f,region,rim,2.0076203686055683e-10,317.02508746183986,21474
p08,young_strong,scaled_dt,f,region,out_of_field,0.07737329405923801,0.02576488022338923,2617740
p08,young_strong,scaled_dt,f,day,pre,1.9392403109657116e-10,449.19403115945414,639660
p08,young_strong,scaled_dt,f,day,d34,0.10663364728431704,0.010321367458672804,639660
p08,young_strong,scaled_dt,f,day,d55,0.16011112638714434,0.006743181752283291,639660
p08,young_strong,scaled_dt,f,day,d80,0.1292995802606769,0.007858613588200721,639660
p08,young_strong,scaled_dt,f,day,d120,0.14587726186079672,0.0076518666345625095,639660
p08,young_strong,fixed_dt,a,region,core,3.6376427066113395e-05,153.5381118360703,6420
p08,young_strong,fixed_dt,a,region,rim,2.0135063428571226e-05,317.25302221011486,21474
p08,young_strong,fixed_dt,a,region,out_of_field,7.601050016384327e-05,0.01986331300819247,523548
p08,young_strong,fixed_dt,a,day,pre,2.238180659926592e-05,449.5258592228295,639660
p08,young_strong,fixed_dt,b,region,core,3.6376412685485244e-05,153.5381118360703,6420
p08,young_strong,fixed_dt,b,region,rim,2.0135057123703008e-05,317.25302221011486,21474
p08,young_strong,fixed_dt,b,region,out_of_field,0.03535727830318494,0.02125813627788917,1047096
p08,young_strong,fixed_dt,b,day,pre,2.2381806599337318e-05,449.5258592228295,639660
p08,young_strong,fixed_dt,b,day,d120,0.12025563673423369,0.007667852495276069,639660
p08,young_strong,fixed_dt,c,region,core,3.637636995545048e-05,153.5381118360703,6420
p08,young_strong,fixed_dt,c,region,rim,2.01350538819138e-05,317.25302221011486,21474
p08,young_strong,fixed_dt,c,region,out_of_field,0.04494090320245687,0.02230540423989564,1570644
p08,young_strong,fixed_dt,c,day,pre,2.238180659937902e-05,449.5258592228295,639660
p08,young_strong,fixed_dt,c,day,d55,0.11195156285277959,0.006757663211437546,639660
p08,young_strong,fixed_dt,c,day,d120,0.12646851155524785,0.007667852495276069,639660
p08,young_strong,fixed_dt,d,region,core,3.6376341766197325e-05,153.5381118360703,6420
p08,young_strong,fixed_dt,d,region,rim,2.013504493358829e-05,317.25302221011486,21474
p08,young_strong,fixed_dt,d,region,out_of_field,0.0717490624670838,0.024581523493903135,2094192
p08,young_strong,fixed_dt,d,day,pre,2.2381806599696128e-05,449.5258592228295,639660
p08,young_strong,fixed_dt,d,day,d34,0.10484804123688828,0.010340916424158748,639660
p08,young_strong,fixed_dt,d,day,d55,0.15734761039683248,0.006757663211437546,639660
p08,young_strong,fixed_dt,d,day,d120,0.14977093861182314,0.007667852495276069,639660
p08,young_strong,fixed_dt,e,region,core,3.6376403714644396e-05,153.5381118360703,6420
p08,young_strong,fixed_dt,e,region,rim,2.0135052341386216e-05,317.25302221011486,21474
p08,young_strong,fixed_dt,e,region,out_of_field,0.04499057805912115,0.02265370021097851,1570644
p08,young_strong,fixed_dt,e,day,pre,2.2381806599515974e-05,449.5258592228295,639660
p08,young_strong,fixed_dt,e,day,d80,0.10472954607291543,0.007863787202802903,639660
p08,young_strong,fixed_dt,e,day,d120,0.12042607785417046,0.007667852495276069,639660
p08,young_strong,fixed_dt,f,region,core,3.6376336968875334e-05,153.5381118360703,6420
p08,young_strong,fixed_dt,f,region,rim,2.013503980395426e-05,317.25302221011486,21474
p08,young_strong,fixed_dt,f,region,out_of_field,0.07751793529705289,0.025797927678805753,2617740
p08,young_strong,fixed_dt,f,day,pre,2.2381806600106447e-05,449.5258592228295,639660
p08,young_strong,fixed_dt,f,day,d34,0.10797779946816627,0.010340916424158748,639660
p08,young_strong,fixed_dt,f,day,d55,0.15844808732155813,0.006757663211437546,639660
p08,young_strong,fixed_dt,f,day,d80,0.13013494355050684,0.007863787202802903,639660
p08,young_strong,fixed_dt,f,day,d120,0.14563374102281892,0.007667852495276069,639660
p09,young_strong,scaled_dt,a,region,core,3.1098554815424677e-15,75.63351791295769,2052
p09,young_strong,scaled_dt,a,region,rim,2.920080778073193e-15,151.47022773471113,7856
p09,young_strong,scaled_dt,a,region,out_of_field,1.6391755097030885e-14,0.0007269939153320244,418718
p09,young_strong,scaled_dt,a,day,pre,2.7513452322794074e-15,215.169897782749,497328
p09,young_strong,scaled_dt,b,region,core,4.369507124076763e-15,75.63351791295769,2052
p09,young_strong,scaled_dt,b,region,rim,3.5831722338378176e-15,151.47022773471113,7856
p09,young_strong,scaled_dt,b,region,out_of_field,0.002795844187984596,0.0007270829253646617,837436
p09,young_strong,scaled_dt,b,day,pre,3.389005032925937e-15,215.169897782749,497328
p09,young_strong,scaled_dt,b,day,d120,0.2026905746445835,1.3662563880327867e-05,497328
p09,young_strong,scaled_dt,c,region,core,1.542628787093606e-14,75.63351791295769,2052
p09,young_strong,scaled_dt,c,region,rim,1.327855472297636e-14,151.47022773471113,7856
p09,young_strong,scaled_dt,c,region,out_of_field,0.00926889257685006,0.0007279144245511142,1256154
p09,young_strong,scaled_dt,c,day,pre,1.3630196936598962e-14,215.169897782749,497328
p09,young_strong,scaled_dt,c,day,d55,0.182358938853099,3.780759764535603e-05,497328
p09,young_strong,scaled_dt,c,day,d120,0.369474254719193,1.3662563880327867e-05,497328
p09,young_strong,scaled_dt,d,region,core,2.242231563038697e-12,75.63351791295769,2052
p09,young_strong,scaled_dt,d,region,rim,1.742907509059881e-12,151.47022773471113,7856
p09,young_strong,scaled_dt,d,region,out_of_field,0.02382489546350821,0.0007459725599076089,1674872
p09,young_strong,scaled_dt,d,day,pre,1.7568393845895927e-12,215.169897782749,497328
p09,young_strong,scaled_dt,d,day,d34,0.11991147022123537,0.0006544037753210528,497328
p09,young_strong,scaled_dt,d,day,d55,0.25965867349541294,3.780759764535603e-05,497328
p09,young_strong,scaled_dt,d,day,d120,0.26454426219454596,1.3662563880327867e-05,497328
p09,young_strong,scaled_dt,e,region,core,3.3314506878640043e-14,75.63351791295769,2052
p09,young_strong,scaled_dt,e,region,rim,2.533102934768468e-14,151.47022773471113,7856
p09,young_strong,scaled_dt,e,region,out_of_field,0.010441377908938823,0.0007283596444592472,1256154
p09,young_strong,scaled_dt,e,day,pre,2.433598948512442e-14,215.169897782749,497328
p09,young_strong,scaled_dt,e,day,d80,0.18612115849610325,4.9359074459279243e-05,497328
p09,young_strong,scaled_dt,e,day,d120,0.21320531256677502,1.3662563880327867e-05,497328
p09,young_strong,scaled_dt,f,region,core,2.2792496398134374e-12,75.63351791295769,2052
p09,young_strong,scaled_dt,f,region,rim,1.766362537756125e-12,151.47022773471113,7856
p09,young_strong,scaled_dt,f,region,out_of_field,0.02565226528346652,0.0007472170042598588,2093590
p09,young_strong,scaled_dt,f,day,pre,1.7764562894327967e-12,215.169897782749,497328
p09,young_strong,scaled_dt,f,day,d34,0.11989432904619046,0.0006544037753210528,497328
p09,young_strong,scaled_dt,f,day,d55,0.26291876863487645,3.780759764535603e-05,497328
p09,young_strong,scaled_dt,f,day,d80,0.295720645341246,4.9359074459279243e-05,497328
p09,young_strong,scaled_dt,f,day,d120,0.26269517587837615,1.3662563880327867e-05,497328
p09,young_strong,fixed_dt,a,region,core,0.00010105504717125972,75.73104206289713,2052
p09,young_strong,fixed_dt,a,region,rim,0.00011003003760198286,151.70083710451232,7856
p09,young_strong,fixed_dt,a,region,out_of_field,0.0007910057568940479,0.0007285673047289347,418718
p09,young_strong,fixed_dt,a,day,pre,9.762663651698405e-05,215.50706543844439,497328
p09,young_strong,fixed_dt,b,region,core,0.00010105504716984874,75.73104206289713,2052
p09,young_strong,fixed_dt,b,region,rim,0.00011003003760196698,151.70083710451232,7856
p09,young_strong,fixed_dt,b,region,out_of_field,0.0029016995589197943,0.0007286563598663728,837436
p09,young_strong,fixed_dt,b,day,pre,9.762663651698666e-05,215.50706543844439,497328
p09,young_strong,fixed_dt,b,day,d120,0.20260149121957247,1.36838897449722e-05,497328
p09,young_strong,fixed_dt,c,region,core,0.00010105504716340099,75.73104206289713,2052
p09,young_strong,fixed_dt,c,region,rim,0.00011003003760421814,151.70083710451232,7856
p09,young_strong,fixed_dt,c,region,out_of_field,0.009165423828110192,0.0007294921699470003,1256154
p09,young_strong,fixed_dt,c,day,pre,9.76266365169869e-05,215.50706543844439,497328
p09,young_strong,fixed_dt,c,day,d55,0.1776033416583925,3.805286037588425e-05,497328
p09,young_strong,fixed_dt,c,day,d120,0.3756155726266065,1.36838897449722e-05,497328
p09,young_strong,fixed_dt,d,region,core,0.00010105504649095991,75.73104206289713,2052
p09,young_strong,fixed_dt,d,region,rim,0.0001100300370081097,151.70083710451232,7856
p09,young_strong,fixed_dt,d,region,out_of_field,0.023837852037829742,0.0007475391684923744,1674872
p09,young_strong,fixed_dt,d,day,pre,9.762663651698534e-05,215.50706543844439,497328
p09,young_strong,fixed_dt,d,day,d34,0.12055089245890302,0.0006550876336687322,497328
p09,young_strong,fixed_dt,d,day,d55,0.258413869620849,3.805286037588425e-05,497328
p09,young_strong,fixed_dt,d,day,d120,0.2640608411728398,1.36838897449722e-05,497328
p09,young_strong,fixed_dt,e,region,core,0.00010105504715379637,75.73104206289713,2052
p09,young_strong,fixed_dt,e,region,rim,0.00011003003759919108,151.70083710451232,7856
p09,young_strong,fixed_dt,e,region,out_of_field,0.010484869548457749,0.000729930230921324,1256154
p09,young_strong,fixed_dt,e,day,pre,9.762663651698555e-05,215.50706543844439,497328
p09,young_strong,fixed_dt,e,day,d80,0.1869899364837826,4.9338038549844483e-05,497328
p09,young_strong,fixed_dt,e,day,d120,0.21405670855124034,1.36838897449722e-05,497328
p09,young_strong,fixed_dt,f,region,core,0.00010105504647737035,75.73104206289713,2052
p09,young_strong,fixed_dt,f,region,rim,0.00011003003701119764,151.70083710451232,7856
p09,young_strong,fixed_dt,f,region,out_of_field,0.025672238659007703,0.0007487809156685385,2093590
p09,young_strong,fixed_dt,f,day,pre,9.762663651698188e-05,215.50706543844439,497328
p09,young_strong,fixed_dt,f,day,d34,0.12053242437024017,0.0006550876336687322,497328
p09,young_strong,fixed_dt,f,day,d55,0.26187962520909575,3.805286037588425e-05,497328
p09,young_strong,fixed_dt,f,day,d80,0.2978191309305838,4.9338038549844483e-05,497328
p09,young_strong,fixed_dt,f,day,d120,0.2621732957459192,1.36838897449722e-05,497328
p10,young_strong,scaled_dt,a,region,core,3.2948229704785037e-15,245.24508886888376,22574
p10,young_strong,scaled_dt,a,region,rim,2.3333293542256105e-15,556.8891284484155,71792
p10,young_strong,scaled_dt,a,region,out_of_field,4.180588500725908e-15,3.542612267299318,735100
p10,young_strong,scaled_dt,a,day,pre,2.4667911898064326e-15,803.2001902037856,933478
p10,young_strong,scaled_dt,b,region,core,1.1829370438739525e-11,245.24508886888376,22574
p10,young_strong,scaled_dt,b,region,rim,7.614939290369419e-12,556.8891284484155,71792
p10,young_strong,scaled_dt,b,region,out_of_field,0.00014188712395091907,3.5426135607812155,1470200
p10,young_strong,scaled_dt,b,day,pre,7.371292406789341e-12,803.2001902037856,933478
p10,young_strong,scaled_dt,b,day,d120,0.17864129798732656,0.003090041077159393,933478
p10,young_strong,scaled_dt,c,region,core,2.5610463771831387e-11,245.24508886888376,22574
p10,young_strong,scaled_dt,c,region,rim,2.070329824089205e-11,556.8891284484155,71792
p10,young_strong,scaled_dt,c,region,out_of_field,0.00035020435835846227,3.5426193391494163,2205300
p10,young_strong,scaled_dt,c,day,pre,2.156237091453533e-11,803.2001902037856,933478
p10,young_strong,scaled_dt,c,day,d55,0.15339450667237672,0.006408706959524216,933478
p10,young_strong,scaled_dt,c,day,d120,0.31961327445789844,0.003090041077159393,933478
p10,young_strong,scaled_dt,d,region,core,8.157473164878195e-10,245.24508886888376,22574
p10,young_strong,scaled_dt,d,region,rim,5.294133910951433e-10,556.8891284484155,71792
p10,young_strong,scaled_dt,d,region,out_of_field,0.0012951856137078405,3.542979221575921,2940400
p10,young_strong,scaled_dt,d,day,pre,5.147556774232906e-10,803.2001902037856,933478
p10,young_strong,scaled_dt,d,day,d34,0.09096991638237442,0.05061977865391616,933478
p10,young_strong,scaled_dt,d,day,d55,0.16447470156260757,0.006408706959524216,933478
p10,young_strong,scaled_dt,d,day,d120,0.32729206073437656,0.003090041077159393,933478
p10,young_strong,scaled_dt,e,region,core,8.266689982649561e-11,245.24508886888376,22574
p10,young_strong,scaled_dt,e,region,rim,5.3164642636864065e-11,556.8891284484155,71792
p10,young_strong,scaled_dt,e,region,out_of_field,0.0003590966319230061,3.5426260879875864,2205300
p10,young_strong,scaled_dt,e,day,pre,5.1474519464279025e-11,803.2001902037856,933478
p10,young_strong,scaled_dt,e,day,d80,0.14176446429426456,0.009476084746474867,933478
p10,young_strong,scaled_dt,e,day,d120,0.18812232422790418,0.003090041077159393,933478
p10,young_strong,scaled_dt,f,region,core,8.029859295486877e-10,245.24508886888376,22574
p10,young_strong,scaled_dt,f,region,rim,5.300417807203507e-10,556.8891284484155,71792
p10,young_strong,scaled_dt,f,region,out_of_field,0.0014045308762049768,3.5429917474893995,3675500
p10,young_strong,scaled_dt,f,day,pre,5.078308944578425e-10,803.2001902037856,933478
p10,young_strong,scaled_dt,f,day,d34,0.09150916420415753,0.05061977865391616,933478
p10,young_strong,scaled_dt,f,day,d55,0.17481152698013272,0.006408706959524216,933478
p10,young_strong,scaled_dt,f,day,d80,0.20856974679024107,0.009476084746474867,933478
p10,young_strong,scaled_dt,f,day,d120,0.3030832708371253,0.003090041077159393,933478
p10,young_strong,fixed_dt,a,region,core,0.0006383879296680794,245.34310306564464,22574
p10,young_strong,fixed_dt,a,region,rim,0.0009556240540750658,557.4615867574071,71792
p10,young_strong,fixed_dt,a,region,out_of_field,0.0005227714512207489,3.5537607537639455,735100
p10,young_strong,fixed_dt,a,day,pre,0.0007707288497162593,804.3296811652332,933478
p10,young_strong,fixed_dt,b,region,core,0.0006383879253543317,245.34310306564464,22574
p10,young_strong,fixed_dt,b,region,rim,0.0009556240535760594,557.4615867574071,71792
p10,young_strong,fixed_dt,b,region,out_of_field,0.000541645193222311,3.553762045165253,1470200
p10,young_strong,fixed_dt,b,day,pre,0.0007707288497162598,804.3296811652332,933478
p10,young_strong,fixed_dt,b,day,d120,0.17887664292252237,0.00309233581149275,933478
p10,young_strong,fixed_dt,c,region,core,0.0006383879438559679,245.34310306564464,22574
p10,young_strong,fixed_dt,c,region,rim,0.0009556240511512906,557.4615867574071,71792
p10,young_strong,fixed_dt,c,region,out_of_field,0.000628760899134591,3.5537678059662947,2205300
p10,young_strong,fixed_dt,c,day,pre,0.0007707288497162598,804.3296811652332,933478
p10,young_strong,fixed_dt,c,day,d55,0.15456214942241298,0.006408590340813407,933478
p10,young_strong,fixed_dt,c,day,d120,0.3183776507038473,0.00309233581149275,933478
p10,young_strong,fixed_dt,d,region,core,0.0006383876444022874,245.34310306564464,22574
p10,young_strong,fixed_dt,d,region,rim,0.0009556240054994262,557.4615867574071,71792
p10,young_strong,fixed_dt,d,region,out_of_field,0.0014116501796253352,3.554128082763955,2940400
p10,young_strong,fixed_dt,d,day,pre,0.0007707288497164345,804.3296811652332,933478
p10,young_strong,fixed_dt,d,day,d34,0.0922713617394856,0.050727375797415014,933478
p10,young_strong,fixed_dt,d,day,d55,0.1654683217172019,0.006408590340813407,933478
p10,young_strong,fixed_dt,d,day,d120,0.32667899597834504,0.00309233581149275,933478
p10,young_strong,fixed_dt,e,region,core,0.000638387899348388,245.34310306564464,22574
p10,young_strong,fixed_dt,e,region,rim,0.0009556240506528894,557.4615867574071,71792
p10,young_strong,fixed_dt,e,region,out_of_field,0.0006341867086913108,3.5537745743201667,2205300
p10,young_strong,fixed_dt,e,day,pre,0.0007707288497162611,804.3296811652332,933478
p10,young_strong,fixed_dt,e,day,d80,0.14199074811829543,0.009491530536901514,933478
p10,young_strong,fixed_dt,e,day,d120,0.18835048483011588,0.00309233581149275,933478
p10,young_strong,fixed_dt,f,region,core,0.0006383876824976147,245.34310306564464,22574
p10,young_strong,fixed_dt,f,region,rim,0.0009556240156837869,557.4615867574071,71792
p10,young_strong,fixed_dt,f,region,out_of_field,0.0015117978182414545,3.554140610628504,3675500
p10,young_strong,fixed_dt,f,day,pre,0.000770728849716431,804.3296811652332,933478
p10,young_strong,fixed_dt,f,day,d34,0.09280106055418315,0.050727375797415014,933478
p10,young_strong,fixed_dt,f,day,d55,0.1755868479536234,0.006408590340813407,933478
p10,young_strong,fixed_dt,f,day,d80,0.20824634739878453,0.009491530536901514,933478
p10,young_strong,fixed_dt,f,day,d120,0.302592424968489,0.00309233581149275,933478
p11,young_strong,scaled_dt,a,region,core,1.994776308336267e-15,931.5649196008112,126096
p11,young_strong,scaled_dt,a,region,rim,2.1053341902554326e-15,1658.6166699199805,188314
p11,young_strong,scaled_dt,a,region,out_of_field,2.2421787048216897e-15,34.33700970060641,967996
p11,young_strong,scaled_dt,a,day,pre,1.9437381128939665e-15,2246.527127480515,1440660
p11,young_strong,scaled_dt,b,region,core,1.485444810777044e-13,931.5649196008112,126096
p11,young_strong,scaled_dt,b,region,rim,1.5067570829472418e-13,1658.6166699199805,188314
p11,young_strong,scaled_dt,b,region,out_of_field,4.269509548177602e-06,34.33700973213903,1935992
p11,young_strong,scaled_dt,b,day,pre,1.4787129544669092e-13,2246.527127480515,1440660
p11,young_strong,scaled_dt,b,day,d120,0.1230690422002134,0.001499171346494743,1440660
p11,young_strong,scaled_dt,c,region,core,7.001659231406755e-13,931.5649196008112,126096
p11,young_strong,scaled_dt,c,region,rim,5.432800712999241e-13,1658.6166699199805,188314
p11,young_strong,scaled_dt,c,region,out_of_field,1.3945795792571003e-05,34.337010021802165,2903988
p11,young_strong,scaled_dt,c,day,pre,6.053738300478839e-13,2246.527127480515,1440660
p11,young_strong,scaled_dt,c,day,d55,0.0943805522420339,0.004463123036160612,1440660
p11,young_strong,scaled_dt,c,day,d120,0.24333633921505704,0.001499171346494743,1440660
p11,young_strong,scaled_dt,d,region,core,4.040173280524471e-11,931.5649196008112,126096
p11,young_strong,scaled_dt,d,region,rim,4.163113345156196e-11,1658.6166699199805,188314
p11,young_strong,scaled_dt,d,region,out_of_field,7.406082323153218e-05,34.33705634270328,3871984
p11,young_strong,scaled_dt,d,day,pre,4.122682009217011e-11,2246.527127480515,1440660
p11,young_strong,scaled_dt,d,day,d34,0.05187034494901263,0.05641607175965066,1440660
p11,young_strong,scaled_dt,d,day,d55,0.12698670634483283,0.004463123036160612,1440660
p11,young_strong,scaled_dt,d,day,d120,0.18555961746011054,0.001499171346494743,1440660
p11,young_strong,scaled_dt,e,region,core,1.891799642876168e-12,931.5649196008112,126096
p11,young_strong,scaled_dt,e,region,rim,1.9249487947181803e-12,1658.6166699199805,188314
p11,young_strong,scaled_dt,e,region,out_of_field,1.5404487679303323e-05,34.33701034300699,2903988
p11,young_strong,scaled_dt,e,day,pre,1.892238320873036e-12,2246.527127480515,1440660
p11,young_strong,scaled_dt,e,day,d80,0.0956849426148962,0.006511004953340258,1440660
p11,young_strong,scaled_dt,e,day,d120,0.12456385243920468,0.001499171346494743,1440660
p11,young_strong,scaled_dt,f,region,core,3.9456853531023585e-11,931.5649196008112,126096
p11,young_strong,scaled_dt,f,region,rim,4.074947872560024e-11,1658.6166699199805,188314
p11,young_strong,scaled_dt,f,region,out_of_field,7.727648919732623e-05,34.337056953570396,4839980
p11,young_strong,scaled_dt,f,day,pre,4.0041131805733614e-11,2246.527127480515,1440660
p11,young_strong,scaled_dt,f,day,d34,0.05189057738344795,0.05641607175965066,1440660
p11,young_strong,scaled_dt,f,day,d55,0.1305849975965197,0.004463123036160612,1440660
p11,young_strong,scaled_dt,f,day,d80,0.13177647508535192,0.006511004953340258,1440660
p11,young_strong,scaled_dt,f,day,d120,0.17928307302099847,0.001499171346494743,1440660
p11,young_strong,fixed_dt,a,region,core,0.0004100732260627019,931.5515854510726,126096
p11,young_strong,fixed_dt,a,region,rim,0.001005746340831908,1660.2548040216736,188314
p11,young_strong,fixed_dt,a,region,out_of_field,0.0007470590200426373,34.454236210011466,967996
p11,young_strong,fixed_dt,a,day,pre,0.0007926824188432424,2248.741485221378,1440660
p11,young_strong,fixed_dt,b,region,core,0.00041007322604464676,931.5515854510726,126096
p11,young_strong,fixed_dt,b,region,rim,0.0010057463408203863,1660.2548040216736,188314
p11,young_strong,fixed_dt,b,region,out_of_field,0.0007470710991334694,34.4542362415269,1935992
p11,young_strong,fixed_dt,b,day,pre,0.0007926824188432424,2248.741485221378,1440660
p11,young_strong,fixed_dt,b,day,d120,0.12267443674277671,0.001501392786524688,1440660
p11,young_strong,fixed_dt,c,region,core,0.00041007322662668194,931.5515854510726,126096
p11,young_strong,fixed_dt,c,region,rim,0.0010057463407150808,1660.2548040216736,188314
p11,young_strong,fixed_dt,c,region,out_of_field,0.0007471881620845541,34.45423653305647,2903988
p11,young_strong,fixed_dt,c,day,pre,0.0007926824188432427,2248.741485221378,1440660
p11,young_strong,fixed_dt,c,day,d55,0.09149056481627284,0.0044855553727652766,1440660
p11,young_strong,fixed_dt,c,day,d120,0.24652541722932386,0.001501392786524688,1440660
p11,young_strong,fixed_dt,d,region,core,0.0004100732212117136,931.5515854510726,126096
p11,young_strong,fixed_dt,d,region,rim,0.0010057463372775694,1660.2548040216736,188314
p11,young_strong,fixed_dt,d,region,out_of_field,0.0007508029691973717,34.454282848773374,3871984
p11,young_strong,fixed_dt,d,day,pre,0.0007926824188432432,2248.741485221378,1440660
p11,young_strong,fixed_dt,d,day,d34,0.052578613326854144,0.05650901489272489,1440660
p11,young_strong,fixed_dt,d,day,d55,0.12791217975447805,0.0044855553727652766,1440660
p11,young_strong,fixed_dt,d,day,d120,0.1830563364666209,0.001501392786524688,1440660
p11,young_strong,fixed_dt,e,region,core,0.00041007322582097303,931.5515854510726,126096
p11,young_strong,fixed_dt,e,region,rim,0.0010057463406821427,1660.2548040216736,188314
p11,young_strong,fixed_dt,e,region,out_of_field,0.0007472176710375664,34.454236850582994,2903988
p11,young_strong,fixed_dt,e,day,pre,0.0007926824188432427,2248.741485221378,1440660
p11,young_strong,fixed_dt,e,day,d80,0.09590595988446579,0.0065124472054442,1440660
p11,young_strong,fixed_dt,e,day,d120,0.12451404896019902,0.001501392786524688,1440660
p11,young_strong,fixed_dt,f,region,core,0.0004100732233391868,931.5515854510726,126096
p11,young_strong,fixed_dt,f,region,rim,0.0010057463371548857,1660.2548040216736,188314
p11,young_strong,fixed_dt,f,region,out_of_field,0.0007511250118770284,34.454283457828645,4839980
p11,young_strong,fixed_dt,f,day,pre,0.0007926824188432435,2248.741485221378,1440660
p11,young_strong,fixed_dt,f,day,d34,0.05259497906253254,0.05650901489272489,1440660
p11,young_strong,fixed_dt,f,day,d55,0.13166807368563527,0.0044855553727652766,1440660
p11,young_strong,fixed_dt,f,day,d80,0.13199518534412108,0.0065124472054442,1440660
p11,young_strong,fixed_dt,f,day,d120,0.17683443714952657,0.001501392786524688,1440660
p12,young_strong,scaled_dt,a,region,core,3.84430605666494e-15,151.5644344366534,10352
p12,young_strong,scaled_dt,a,region,rim,2.643444489543995e-15,349.2922222258236,31018
p12,young_strong,scaled_dt,a,region,out_of_field,1.9861484897346595e-15,0.21285368944162403,574578
p12,young_strong,scaled_dt,a,day,pre,2.4465957949327034e-15,507.9305386585335,716572
p12,young_strong,scaled_dt,b,region,core,1.744941423911911e-12,151.5644344366534,10352
p12,young_strong,scaled_dt,b,region,rim,1.109537525374178e-12,349.2922222258236,31018
p12,young_strong,scaled_dt,b,region,out_of_field,0.0006515518619208691,0.2128563925090829,1149156
p12,young_strong,scaled_dt,b,day,pre,1.08377820462626e-12,507.9305386585335,716572
p12,young_strong,scaled_dt,b,day,d120,0.13771570422361032,0.0011370865149209833,716572
p12,young_strong,scaled_dt,c,region,core,5.78797701720993e-12,151.5644344366534,10352
p12,young_strong,scaled_dt,c,region,rim,3.865149204164177e-12,349.2922222258236,31018
p12,young_strong,scaled_dt,c,region,out_of_field,0.0015527213090523132,0.21287170434010105,1723734
p12,young_strong,scaled_dt,c,day,pre,3.624114288431101e-12,507.9305386585335,716572
p12,young_strong,scaled_dt,c,day,d55,0.11428402139311392,0.00258069281826039,716572
p12,young_strong,scaled_dt,c,day,d120,0.18021437971580165,0.0011370865149209833,716572
p12,young_strong,scaled_dt,d,region,core,1.0729062313976235e-10,151.5644344366534,10352
p12,young_strong,scaled_dt,d,region,rim,7.300577137835095e-11,349.2922222258236,31018
p12,young_strong,scaled_dt,d,region,out_of_field,0.003477800493056876,0.2131719969767839,2298312
