patient,cell,t_r_column,observation_set,split,name,resid7_frac,norm_T_r,n_rows
p01,young_weak,scaled_dt,a,region,core,1.0069265019853156e-14,34.792079000041745,4366
p01,young_weak,scaled_dt,a,region,rim,7.084099975422568e-15,96.20453942233087,62498
p01,young_weak,scaled_dt,a,region,out_of_field,4.471930309752325e-15,16.761197545544924,731428
p01,young_weak,scaled_dt,a,day,pre,6.866824946754249e-15,143.979879823817,831774
p01,young_weak,scaled_dt,b,region,core,2.1122517996537966e-06,34.792079000041745,4366
p01,young_weak,scaled_dt,b,region,rim,1.5380769609669408e-06,96.20453942233087,62498
p01,young_weak,scaled_dt,b,region,out_of_field,0.003128452605956961,16.76195232460233,1462856
p01,young_weak,scaled_dt,b,day,pre,1.4747831289434116e-06,143.979879823817,831774
p01,young_weak,scaled_dt,b,day,d120,0.382041214863524,0.16899500586912702,831774
p01,young_weak,scaled_dt,c,region,core,2.4438191272940688e-05,34.792079000041745,4366
p01,young_weak,scaled_dt,c,region,rim,1.803073512695768e-05,96.20453942233087,62498
p01,young_weak,scaled_dt,c,region,out_of_field,0.012707418891461084,16.771420373450663,2194284
p01,young_weak,scaled_dt,c,day,pre,1.704882647084072e-05,143.979879823817,831774
p01,young_weak,scaled_dt,c,day,d55,0.31033017230071996,0.5714344359665116,831774
p01,young_weak,scaled_dt,c,day,d120,0.9413020676942166,0.16899500586912702,831774
p01,young_weak,scaled_dt,d,region,core,0.008853577775480966,34.792079000041745,4366
p01,young_weak,scaled_dt,d,region,rim,0.006575826737068983,96.20453942233087,62498
p01,young_weak,scaled_dt,d,region,out_of_field,0.04627206320969905,17.601746161967338,2925712
p01,young_weak,scaled_dt,d,day,pre,0.006288612848912846,143.979879823817,831774
p01,young_weak,scaled_dt,d,day,d34,0.16647155656920917,19.566010747965628,831774
p01,young_weak,scaled_dt,d,day,d55,0.32259211893591755,0.5714344359665116,831774
p01,young_weak,scaled_dt,d,day,d120,0.880456810531357,0.16899500586912702,831774
p01,young_weak,scaled_dt,e,region,core,3.617315663823842e-05,34.792079000041745,4366
p01,young_weak,scaled_dt,e,region,rim,2.5622707726007877e-05,96.20453942233087,62498
p01,young_weak,scaled_dt,e,region,out_of_field,0.014433627873710666,16.779077310988573,2194284
p01,young_weak,scaled_dt,e,day,pre,2.4641219595785197e-05,143.979879823817,831774
p01,young_weak,scaled_dt,e,day,d80,0.32317766574855356,0.7781883890977477,831774
p01,young_weak,scaled_dt,e,day,d120,0.40480425395492914,0.16899500586912702,831774
p01,young_weak,scaled_dt,f,region,core,0.008873665734754028,34.792079000041745,4366
p01,young_weak,scaled_dt,f,region,rim,0.006607546901749025,96.20453942233087,62498
p01,young_weak,scaled_dt,f,region,out_of_field,0.04975787446847317,17.61805487635403,3657140
p01,young_weak,scaled_dt,f,day,pre,0.006315636633033629,143.979879823817,831774
p01,young_weak,scaled_dt,f,day,d34,0.16644024721998057,19.566010747965628,831774
p01,young_weak,scaled_dt,f,day,d55,0.3366857446984165,0.5714344359665116,831774
p01,young_weak,scaled_dt,f,day,d80,0.509635112319828,0.7781883890977477,831774
p01,young_weak,scaled_dt,f,day,d120,0.8494096630895652,0.16899500586912702,831774
p01,young_weak,fixed_dt,a,region,core,0.0005119898236338598,34.859036715358826,4366
p01,young_weak,fixed_dt,a,region,rim,0.0005864926798317906,96.41537406178561,62498
p01,young_weak,fixed_dt,a,region,out_of_field,0.0004497616359104079,16.81763468582941,731428
p01,young_weak,fixed_dt,a,day,pre,0.0004727739806685204,144.34044250677724,831774
p01,young_weak,fixed_dt,b,region,core,0.0005108580375034,34.859036715358826,4366
p01,young_weak,fixed_dt,b,region,rim,0.0005864058943163304,96.41537406178561,62498
p01,young_weak,fixed_dt,b,region,out_of_field,0.0031607823602203683,16.818383738264966,1462856
p01,young_weak,fixed_dt,b,day,pre,0.00047277628637533344,144.34044250677724,831774
p01,young_weak,fixed_dt,b,day,d120,0.3843368884921002,0.168599592891228,831774
p01,young_weak,fixed_dt,c,region,core,0.0005131119683413303,34.859036715358826,4366
p01,young_weak,fixed_dt,c,region,rim,0.0005877657888271881,96.41537406178561,62498
p01,young_weak,fixed_dt,c,region,out_of_field,0.012517340981287187,16.827895839589146,2194284
p01,young_weak,fixed_dt,c,day,pre,0.00047307710341239537,144.34044250677724,831774
p01,young_weak,fixed_dt,c,day,d55,0.30195233393595017,0.5742240709909929,831774
p01,young_weak,fixed_dt,c,day,d120,0.9528751964792183,0.168599592891228,831774
p01,young_weak,fixed_dt,d,region,core,0.00861203621273317,34.859036715358826,4366
