patient,cell,run,column,sign,variant,step,frame,n_steps,dt,dice_core,dice_edema,assd_core_mm,assd_edema_mm,rel_l2_log,rel_l2,max_abs_diff,mass,mass_out_of_field,ref_mass,ref_mass_out_of_field,qoi_mass,qoi_log10_mass,qoi_V_core,qoi_V_edema,qoi_log10_V_core,qoi_log10_V_edema,qoi_r95_core,qoi_r95_edema,qoi_centroid_drift,qoi_centroid_x_mm,qoi_centroid_y_mm,qoi_centroid_z_mm,qoi_R_g,qoi_anisotropy,qoi_log10_anisotropy,qoi_wm_fraction,qoi_n_core,qoi_n_edema,qoi_voxel_volume
p00,young_weak,log_lambda_plus,log_lambda,plus,,0.05,pre,1908,0.08321656032355242,0.97292435009445,0.9827398301862882,0.235663457513604,0.22764944454240874,0.0008554886615472655,0.02147941161582958,0.013527074335273781,17773.203610930595,1223.206581087957,18207.709486951506,1252.2386772931175,17829.163060085444,4.251130956920858,5408.0,19387.0,3.7331169814420644,4.287533011050722,11.045361017187261,16.431676725154983,0.18687819751910836,131.8524475362681,102.97538842667635,90.11200893541665,17.332146849833904,1.0248137139913231,0.010644928476389379,0.5144684009218323,5408.0,19387.0,1.0
p00,young_weak,log_lambda_plus,log_lambda,plus,,0.05,d34,1908,0.08321656032355242,,,,,0.0015875132737953287,0.0487127266789702,0.009754497828553255,7464.115485543878,1389.8333110793887,7858.499653993491,1462.3707509417331,7511.807503337376,3.875744450223241,0.0,0.0,0.0,0.0,0.0,0.0,0.7987479366992506,131.35114524538122,102.9962445655079,90.46580217958022,21.175574969391462,1.0596899619986018,0.025178820464293088,0.5877175311940838,0.0,0.0,1.0
p00,young_weak,log_lambda_plus,log_lambda,plus,,0.05,d55,1908,0.08321656032355242,,,,,0.00209004699298327,0.06764312087693337,0.005697897606037242,3608.3237698207804,998.3923778469581,3873.6132900818466,1071.4371533139367,3639.9886018131215,3.5611000237102055,0.0,0.0,0.0,0.0,0.0,0.0,1.2017099455723046,131.0000133158486,103.01660323282336,90.66622650612769,22.647931002570143,1.0878762418194987,0.03657949228131757,0.5799600247943154,0.0,0.0,1.0
p00,young_weak,log_lambda_plus,log_lambda,plus,,0.05,d80,1908,0.08321656032355242,,,,,0.0028335319093564823,0.08925118132296599,0.011947901928980764,5940.596607212163,1724.83362313153,6527.657554119306,1894.5071705946814,5993.766892432752,3.7776998485030586,0.0,0.0,0.0,0.0,0.0,0.0,1.2770567010714007,130.93003556910512,103.00556030531544,90.6971506418099,23.099430355893652,1.0952965267667842,0.03953171050476686,0.5762483553143597,0.0,0.0,1.0
p00,young_weak,log_lambda_plus,log_lambda,plus,,0.05,d120,1908,0.08321656032355242,,,,,0.0040245680237741945,0.11978331750402459,0.013567174572116258,5463.862414139966,1741.422367219927,6214.6547817315695,1982.0928835692596,5514.38904053455,3.741497402356851,0.0,0.0,0.0,0.0,0.0,0.0,1.3972817954663,130.8178253616854,102.99036729359908,90.7448266586493,23.78673591536451,1.1078815407267093,0.04449332631385225,0.5702954904834269,0.0,0.0,1.0
p00,young_weak,log_lambda_minus,log_lambda,minus,,0.05,pre,1908,0.08321656032355242,0.9719928492381034,0.9812723094225221,0.24686868686868688,0.2502578205568924,0.0008961245160965861,0.022637075294676023,0.013855961693490237,18672.257106777208,1285.460471430126,18207.709486951506,1252.2386772931175,18733.075322960198,4.272609079359026,6038.0,20834.0,3.780965029608317,4.318793504793296,11.357816691600547,16.881943016134134,0.17608135342459666,131.85898952620792,102.97573923966198,90.1026260435396,17.385424261633695,1.0233128660064403,0.01000843450082555,0.5164798294008116,6038.0,20834.0,1.0
p00,young_weak,log_lambda_minus,log_lambda,minus,,0.05,d34,1908,0.08321656032355242,,,,,0.0016911327134625633,0.05258365137553775,0.010118824214454425,8291.49913888544,1545.6944591407703,7858.499653993491,1462.3707509417331,8347.32599008872,3.921547374437166,0.0,0.0,0.0,0.0,0.0,0.0,0.7585639257194127,131.3783179519644,102.99599878355858,90.4346431304186,21.195252122027757,1.0569177943549568,0.024041209780091107,0.5872684721550349,0.0,0.0,1.0
p00,young_weak,log_lambda_minus,log_lambda,minus,,0.05,d55,1908,0.08321656032355242,,,,,0.0022402631173633982,0.07487761662688427,0.0060678284307874725,4171.735805249058,1156.2352942915597,3873.6132900818466,1071.4371533139367,4210.524116223705,3.624336159164977,0.0,0.0,0.0,0.0,0.0,0.0,1.1450549635711271,131.04274478340795,103.01833261554681,90.62807422739148,22.649969661252037,1.0839201162116416,0.034997276328873214,0.5793182177198094,0.0,0.0,1.0
p00,young_weak,log_lambda_minus,log_lambda,minus,,0.05,d80,1908,0.08321656032355242,,,,,0.003035963182792129,0.10114017508306665,0.013022848585636598,7201.697644298744,2094.7673865103898,6527.657554119306,1894.5071705946814,7270.37108180444,3.861556577938424,0.0,0.0,0.0,0.0,0.0,0.0,1.2184075833647863,130.97364962391427,103.00689044429907,90.6565626142927,23.093963369889998,1.0912027141079093,0.03790543751825265,0.5757857502425526,0.0,0.0,1.0
p00,young_weak,log_lambda_minus,log_lambda,minus,,0.05,d120,1908,0.08321656032355242,,,,,0.0043095785340374095,0.1398626690672604,0.015138844694886397,7102.521384281343,2274.2111921774185,6214.6547817315695,1982.0928835692596,7173.297668652559,3.8557188530257256,0.0,0.0,0.0,0.0,0.0,0.0,1.3399808324980167,130.8584702470015,102.99030038495657,90.70168680474215,23.788036199553265,1.1039419823772971,0.042946249665382984,0.5700458945814384,0.0,0.0,1.0
p00,young_weak,log_T_r_scaled_dt_plus,log_T_r,plus,scaled_dt,0.05,pre,1837,0.0874831646079825,0.9816868712922363,0.9824011748867948,0.15874949248883474,0.234737747205503,0.0025718816994872782,0.02052296042688712,0.011305362807641162,18704.531446583536,1328.2383783279852,18207.709486951506,1252.2386772931175,18765.349662766523,4.2733566612188705,5922.0,20787.0,3.7725417326409434,4.3178127081508215,11.357816691600547,16.881943016134134,0.19202654017598433,131.84683652548182,102.9738420106224,90.11283129795052,17.455414550899324,1.024996374013717,0.010722329051656439,0.5169058789471822,5922.0,20787.0,1.0
p00,young_weak,log_T_r_scaled_dt_plus,log_T_r,plus,scaled_dt,0.05,d34,1837,0.0874831646079825,,,,,0.00248737760193499,0.024740011138652117,0.00366142721749918,8103.116260236045,1541.9658926909456,7858.499653993491,1462.3707509417331,8156.786871564692,3.9115191147881436,0.0,0.0,0.0,0.0,0.0,0.0,0.7956560957067059,131.3487361980104,102.99363989554332,90.45703788893768,21.26529931721348,1.0596374481800872,0.02515729810630378,0.5873146369976517,0.0,0.0,1.0
p00,young_weak,log_T_r_scaled_dt_plus,log_T_r,plus,scaled_dt,0.05,d55,1837,0.0874831646079825,,,,,0.002451093648463133,0.027066767698239524,0.0018154645313185128,4003.2763555444562,1128.7632631467313,3873.6132900818466,1071.4371533139367,4039.72757708561,3.606352079031989,0.0,0.0,0.0,0.0,0.0,0.0,1.1974655390821929,130.99904236626756,103.01534303396691,90.65709369504725,22.73658887123993,1.0876453604575995,0.0364873116275207,0.5793882011998006,0.0,0.0,1.0
p00,young_weak,log_T_r_scaled_dt_plus,log_T_r,plus,scaled_dt,0.05,d80,1837,0.0874831646079825,,,,,0.0026409494103857164,0.027891043897158546,0.0029012477396008207,6750.511876563073,1994.7199693705427,6527.657554119306,1894.5071705946814,6813.3819895752895,3.8333627381708903,0.0,0.0,0.0,0.0,0.0,0.0,1.2716722997313312,130.92956573431528,103.00421706101027,90.68651521261252,23.182319037687222,1.095043937385177,0.03943154509495865,0.5757208757263549,0.0,0.0,1.0
p00,young_weak,log_T_r_scaled_dt_plus,log_T_r,plus,scaled_dt,0.05,d120,1837,0.0874831646079825,,,,,0.0026269280433733207,0.027195153012003283,0.0024127121440998475,6419.604768632767,2080.4647374523947,6214.6547817315695,1982.0928835692596,6481.724956098275,3.811690598343349,0.0,0.0,0.0,0.0,0.0,0.0,1.3922515913025577,130.81602702266866,102.98850146172798,90.73242082579026,23.868387230718984,1.1077695044969926,0.04444940539364638,0.569832945684934,0.0,0.0,1.0
p00,young_weak,log_T_r_fixed_dt_plus,log_T_r,plus,fixed_dt,0.05032508388751584,pre,1932,0.08321656032355242,0.9815180950743574,0.982232881405707,0.1603735282176208,0.23693259972489683,0.0025991835302773105,0.020714843087792655,0.01140669163541258,18709.27780305444,1329.0232278951046,18207.709486951506,1252.2386772931175,18770.121383513946,4.273467081146644,5924.0,20794.0,3.7726883546821415,4.317958924700952,11.357816691600547,16.881943016134134,0.19213829212979638,131.84674132224035,102.97382364657824,90.11288799544441,17.456427147674525,1.0250062216834244,0.010726501523069467,0.5169197866162365,5924.0,20794.0,1.0
p00,young_weak,log_T_r_fixed_dt_plus,log_T_r,plus,fixed_dt,0.05032508388751584,d34,1932,0.08321656032355242,,,,,0.0025704966722475057,0.025728507858556834,0.00382942565489916,8112.36684136167,1544.3890889188383,7858.499653993491,1462.3707509417331,8166.109098723271,3.9120151777737275,0.0,0.0,0.0,0.0,0.0,0.0,0.7960181189888154,131.3483951359915,102.99358441283258,90.45718135045105,21.267257814126175,1.0596679569628868,0.025169802010637937,0.5873058759092694,0.0,0.0,1.0
p00,young_weak,log_T_r_fixed_dt_plus,log_T_r,plus,fixed_dt,0.05032508388751584,d55,1932,0.08321656032355242,,,,,0.002501818600915394,0.027693079290494915,0.0018469336529046004,4006.160185376824,1129.7658944295854,3873.6132900818466,1071.4371533139367,4042.6409003741173,3.6066651655453112,0.0,0.0,0.0,0.0,0.0,0.0,1.1977490638272845,130.9987811905951,103.01531653269481,90.65721314610954,22.737800866347065,1.087667852258294,0.036496292462899226,0.5793821873040863,0.0,0.0,1.0
p00,young_weak,log_T_r_fixed_dt_plus,log_T_r,plus,fixed_dt,0.05032508388751584,d80,1932,0.08321656032355242,,,,,0.002624279377834278,0.02749300435226394,0.002883633924372485,6747.751323964806,1994.0609040327056,6527.657554119306,1894.5071705946814,6810.598256547965,3.8331852628827816,0.0,0.0,0.0,0.0,0.0,0.0,1.271794188212193,130.92945537331468,103.00421589574263,90.68656892273725,23.182561726175813,1.0950510017751665,0.039434346823354595,0.5757221745515815,0.0,0.0,1.0
